Velocity,Lean,Pitch,Yaw,Status
35.95944,-31.043,-3.786865,-158.5732,Not Crashed
36.11094,-28.50439,1.443332,-93.69159,Not Crashed
8.939137,-70.65167,-0.6563416,27.99246,Crashed
19.77218,-27.76227,-0.7131958,163.5306,Not Crashed
34.18743,-35.10175,-1.161102,-105.1843,Not Crashed
25.96967,-50.35712,-2.200958,-22.9675,Not Crashed
48.41202,-27.71609,-2.540894,41.28619,Not Crashed
55.63111,-10.05496,-2.483795,64.37943,Not Crashed
43.81005,87.69131,84.80084,135.8241,Crashed
14.87979,-8.25708,-2.911102,-159.4384,Not Crashed
31.82874,40.54396,-1.369598,-150.6964,Not Crashed
34.42001,72.37468,-5.740631,-166.0116,Crashed
21.26802,-13.32474,1.330104,164.8508,Not Crashed
6.102222,-36.69443,1.592713,-84.63037,Not Crashed
38.45524,22.8411,-2.971649,-5.861176,Not Crashed
12.68226,29.39751,-1.5979,-13.26382,Crashed
1.649926,70.879,-18.20578,26.74649,Crashed
35.07053,-0.4943848,-4.051178,-0.3983154,Not Crashed
13.40004,-16.73889,-2.793518,11.8694,Crashed
1.704834,-0.001491435,-0.2052917,10.65472,Not Crashed
4.43623,-70.32639,-8.441681,-49.20715,Crashed
38.04705,1.227581,-2.864441,-2.69043,Not Crashed
42.39691,-70.72263,-0.498291,25.75296,Crashed
28.47655,0,0,-89.94666,Not Crashed
12.1865,-70.96341,0.6909604,-81.79065,Crashed
25.21773,36.75057,-3.150452,-164.14,Not Crashed
8.897415,22.68536,-3.207458,-178.6527,Crashed
8.833901,-27.32864,-3.151672,-172.023,Crashed
0.574344,0,-0.2541504,0,Not Crashed
40.51681,21.37089,-2.265381,-11.11465,Not Crashed
43.78479,72.46292,-5.311798,46.23157,Crashed
16.68033,-22.44272,-0.7860107,11.63302,Not Crashed
24.74767,-47.40964,2.632877,147.4236,Not Crashed
39.85273,28.43486,-3.614929,-161.7262,Crashed
7.005187,72.44135,0.5455765,-91.39307,Crashed
15.69424,37.39999,-0.3426208,167.8382,Not Crashed
31.423,47.25832,-2.418091,74.41183,Not Crashed
50.77364,0.6934882,-2.707062,55.58146,Not Crashed
45.50121,41.85474,-2.121979,34.87314,Not Crashed
38.08211,-32.69882,-0.02798462,34.83587,Not Crashed
23.81235,-45.85379,1.098316,99.9284,Not Crashed
37.79682,-32.85416,-2.117554,-157.7596,Not Crashed
